accession	nid	size	phylum	genus	species	strain	trophic	pathogenic
AF098254	g3873269	450	Proteobacteria	Pseudomonas	syringae	328	h	u
AF098258	g3873273	452	Proteobacteria	Pseudomonas	syringae	357	h	u
AF098259	g3873274	452	Proteobacteria	Pseudomonas	syringae	359	h	u
AF489611	AF489611.1 GI:19550	404	Firmicutes	Streptococcus	suis	428	h	p
AF489600	AF489600.1 GI:19550	588	Firmicutes	Streptococcus	equi	500	h	p
AF098256	g3873271	450	Proteobacteria	Pseudomonas	syringae	539	h	u
AF209767	AF209767.1 GI:17026	494	Proteobacteria	Xanthomonas	axonopodis	592	h	u
AF489599	AF489599.1 GI:19550	416	Firmicutes	Streptococcus	equi	613	h	p
AF033087	AF033087.1 GI:26890	407	Proteobacteria	Actinobacillus	pleuropneumoniae	634	h	p
AF033088	AF033088.1 GI:26890	425	Proteobacteria	Actinobacillus	pleuropneumoniae	658	h	p
AF033069	AF033069.1 GI:26890	531	Proteobacteria	Actinobacillus	pleuropneumoniae	658	h	p
AJ420049	AJ420049.1 GI:18496	371	Firmicutes	Bacillus	anthracis	663	h	p
AB019250	g3821805	361	Firmicutes	Erysipelothrix	rhusiopathiae	715	h	u
AF489613	AF489613.1 GI:19550	406	Firmicutes	Streptococcus	suis	735	h	p
AF033089	AF033089.1 GI:26890	425	Proteobacteria	Actinobacillus	pleuropneumoniae	761	h	p
AF033090	g2689022	408	Proteobacteria	Actinobacillus	pleuropneumoniae	785	h	p
AJ315573	AJ315573.1 GI:14422	273	Actinobacteria	Mycobacterium	marinum	1160	h	p
X74223	g410491	219	Firmicutes	Lactobacillus	hetero	1198	h	n
AJ237901	AJ237901.1 GI:64917	496	Nitrospirae	Leptospirillum	sp	2391	a	u
AF291414	AF291414.1 GI:15077	278	Firmicutes	Streptococcus	agalactiae	3139	h	p
AF033070	AF033070.1 GI:26890	531	Proteobacteria	Actinobacillus	pleuropneumoniae	3906	h	p
AF489612	AF489612.1 GI:19550	290	Firmicutes	Streptococcus	suis	6407	h	p
AB051014	AB051014.1 GI:17298	407	Firmicutes	Streptococcus	sobrinus	6715	h	p
AF291418	AF291418.1 GI:15077	278	Firmicutes	Streptococcus	agalactiae	7271	h	p
AJ420048	AJ420048.1 GI:18496	371	Firmicutes	Bacillus	anthracis	7700	h	p
AB026202	AB026202.1 GI:66836	306	Actinobacteria	Streptomyces	scabies	8722	h	u
AB026212	AB026212.1 GI:66836	313	Actinobacteria	Streptomyces	scabies	8770	h	u
AB026213	AB026213.1 GI:66836	313	Actinobacteria	Streptomyces	scabies	8776	h	u
AB026209	AB026209.1 GI:66836	311	Actinobacteria	Streptomyces	scabies	8779	h	u
X74224	g410492	215	Firmicutes	Lactobacillus	hetero	12118	h	n
AF118635	g4249740	729	Bacteroidetes/Chlorobi	Porphyromonas	gingivalis	33277	h	u
AF118634	g4249739	735	Bacteroidetes/Chlorobi	Porphyromonas	gingivalis	49417	h	u
AF033085	AF033085.1 GI:26890	425	Proteobacteria	Actinobacillus	pleuropneumoniae	56153	h	p
AB026208	AB026208.1 GI:66836	311	Actinobacteria	Streptomyces	scabies	84102	h	u
AB026207	AB026207.1 GI:66836	311	Actinobacteria	Streptomyces	scabies	84174	h	u
AB026203	AB026203.1 GI:66836	307	Actinobacteria	Streptomyces	scabies	84232	h	u
AF324463	AF324463.1 GI:13123	285	Firmicutes	Streptococcus	canis	113/38	h	p
D64126	g1644201	165	Firmicutes	Bacillus	subtilis	168	h	n
D88802	D88802.1 GI:1945083	168	Firmicutes	Bacillus	subtilis	168	h	n
J01551	g143734	344	Firmicutes	Bacillus	subtilis	168	h	n
U68431	g1943878	225	Chlamydiae	Chlamydia	pecorum	1710S	h	p
AF489592	AF489592.1 GI:19550	280	Firmicutes	Streptococcus	agalactiae	18RS21	h	p
AF291413	AF291413.1 GI:15077	278	Firmicutes	Streptococcus	agalactiae	18RS21	h	p
AJ251906	AJ251906.1 GI:98445	530	Proteobacteria	Pseudomonas	stutzeri	19SMN4	h	u
AB030567	AB030567.1 GI:56726	300	Actinobacteria	Streptomyces	griseus	2247	h	u
AB030568	AB030568.1 GI:56726	300	Actinobacteria	Streptomyces	griseus	2247	h	u
AB030569	AB030569.1 GI:56726	300	Actinobacteria	Streptomyces	griseus	2247	h	u
AB030570	AB030570.1 GI:56726	300	Actinobacteria	Streptomyces	griseus	2247	h	u
AB030571	AB030571.1 GI:56726	304	Actinobacteria	Streptomyces	griseus	2247	h	u
AB030572	AB030572.1 GI:56726	300	Actinobacteria	Streptomyces	griseus	2247	h	u
AF073209	g4587899	510	Proteobacteria	Xylella	fastidiosa	2-4	h	p
AF489595	AF489595.1 GI:19550	285	Firmicutes	Streptococcus	dysgalactiae	24/52	h	p
AJ298749	AJ298749.1 GI:17932	708	Proteobacteria	Nitrosospira	sp	24C	h	u
D63689	g944980	303	Firmicutes	Ureaplasma	urealyticum	27	h	p
AF093472	AF093472.1 GI:44571	534	Actinobacteria	Renibacterium	salmoninarum	3015-86	h	n
AJ298750	AJ298750.1 GI:17932	643	Proteobacteria	Nitrosospira	sp	39-19	h	u
AJ005554	g3063904	688	Proteobacteria	Nitrosospira	sp	40KI	h	u
AF179000	AF179000.1 GI:66938	534	Actinobacteria	Renibacterium	salmoninarum	4451-86	h	n
AB015357	g3551426	355	Cyanobacteria	Microcystis	sp	4A3	a	u
AB015358	g3551427	355	Cyanobacteria	Microcystis	sp	4B3	a	u
AF073208	g4587898	510	Proteobacteria	Xylella	fastidiosa	4S3	h	p
AJ272271	AJ272271.1 GI:70073	270	Actinobacteria	Mycobacterium	bovis	5115/98	h	p
AF073207	g4587897	510	Proteobacteria	Xylella	fastidiosa	5R1	h	p
AF073206	g4587896	510	Proteobacteria	Xylella	fastidiosa	5S2	h	p
L06305	g294378	512	Proteobacteria	Pseudomonas	fluorescens	63-28	h	n
L06307	g294380	512	Proteobacteria	Pseudomonas	fluorescens	64-3	h	n
AF088897	AF088897.1 GI:65807	606	Proteobacteria	Zymomonas	mobilis	65G3	h	u
U68447	g1943887	224	Chlamydiae	Chlamydia	psittaci	6BC	h	p
AF060176	g3719231	481	Proteobacteria	Xanthomonas	campestris	700a	h	u
AF060177	g3719232	482	Proteobacteria	Xanthomonas	campestris	701a	h	u
AL031031	AL031031.1 GI:32942	280	Actinobacteria	Streptomyces	coelicolor	7C7	h	u
AF073210	g4587900	510	Proteobacteria	Xylella	fastidiosa	88-9	h	p
AF362021	AF362021.1 GI:14149	556	Proteobacteria	Acidithiobacillus	thiooxidans	8930P	h	n
L42259	g1477393	270	Actinobacteria	Mycobacterium	gordonae	89-676	h	p
AF369528	AF369528.1 GI:15290	1275	Proteobacteria	Bartonella	henselae	90-615	h	p
AF489593	AF489593.1 GI:19550	285	Firmicutes	Streptococcus	dysgalactiae	9118/77	h	p
L42263	g1477397	280	Actinobacteria	Mycobacterium	kansasii	91-4654	h	p
L42260	g1477394	271	Actinobacteria	Mycobacterium	gordonae	91-637	h	p
L42264	g1477398	279	Actinobacteria	Mycobacterium	kansasii	91-771	h	p
AF073212	g4587902	510	Proteobacteria	Xylella	fastidiosa	92-10	h	p
AF073211	g4587901	510	Proteobacteria	Xylella	fastidiosa	92-3	h	p
L42261	g1477395	271	Actinobacteria	Mycobacterium	gordonae	92-652	h	p
AF073222	g4587912	509	Proteobacteria	Xylella	fastidiosa	95-9	h	p
AF236649	AF236649.1 GI:12957	497	Cyanobacteria	Tolypothrix	distorta	96-2A	a	u
AF236650	AF236650.1 GI:12957	400	Cyanobacteria	Scytonema	hyalinum	96-3A	a	u
AF236651	AF236651.1 GI:12957	648	Cyanobacteria	Scytonema	hyalinum	96-3B	a	u
AF489594	AF489594.1 GI:19550	286	Firmicutes	Streptococcus	dysgalactiae	97/31	h	p
AF093467	AF093467.1 GI:44570	534	Actinobacteria	Renibacterium	salmoninarum	970153-19	h	n
AF093466	AF093466.1 GI:44570	534	Actinobacteria	Renibacterium	salmoninarum	970419-1.2.3	h	n
AF093465	AF093465.1 GI:44570	534	Actinobacteria	Renibacterium	salmoninarum	980106-1.1.5	h	n
AF236644	AF236644.1 GI:12957	353	Cyanobacteria	Tolypothrix	distorta	98-6B	a	u
AF236645	AF236645.1 GI:12957	412	Cyanobacteria	Tolypothrix	distorta	98-6C	a	u
AF236646	AF236646.1 GI:12957	289	Cyanobacteria	Tolypothrix	distorta	98-9A	a	u
AF236647	AF236647.1 GI:12957	283	Cyanobacteria	Tolypothrix	distorta	98-9B	a	u
AF236648	AF236648.1 GI:12957	294	Cyanobacteria	Tolypothrix	distorta	98-9C	a	u
XYLFAS001	XYLFAS001	465	Proteobacteria	Xylella	fastidiosa	9a5c	h	p
XYLFAS002	XYLFAS002	465	Proteobacteria	Xylella	fastidiosa	9a5c	h	p
U68438	g1943907	243	Chlamydiae	Chlamydia	trachomatis	A/Har-13	h	p
AF151301	AF151301.1 GI:71088	142	Crenarchaeota	uncultured marine	bacterium	A1-010-1	h	n
AF151302	AF151302.1 GI:71088	141	Crenarchaeota	uncultured marine	bacterium	A1-010-2	h	n
AF151303	AF151303.1 GI:71088	142	Crenarchaeota	uncultured marine	bacterium	A1-010-3	h	n
AF151304	AF151304.1 GI:71088	141	Crenarchaeota	uncultured marine	bacterium	A1-010-4	h	n
AJ005548	g3063899	744	Proteobacteria	Nitrosomonas	sp	A16	h	u
L31411	g466506	662	Proteobacteria	Neisseria	meningitidis	A2	h	p
U68444	g1943884	222	Chlamydiae	Chlamydia	psittaci	A22	h	p
AF151305	AF151305.1 GI:71088	141	Crenarchaeota	uncultured marine	bacterium	A2-200-1	h	n
AF151306	AF151306.1 GI:71088	142	Crenarchaeota	uncultured marine	bacterium	A2-200-2	h	n
AF151307	AF151307.1 GI:71088	141	Crenarchaeota	uncultured marine	bacterium	A2-200-3	h	n
AJ005547	g3063898	751	Proteobacteria	Nitrosomonas	sp	A4	h	u
D63686	g944981	301	Firmicutes	Ureaplasma	diversum	A417	h	p
AF036708	g2766500	391	Firmicutes	Mycoplasma	gallisepticum	A5969var	h	p
L08897	g530152	657	Firmicutes	Mycoplasma	gallisepticum	A5969var	h	p
AF073219	g4587909	509	Proteobacteria	Xylella	fastidiosa	Acer macrophyla	h	p
AF093464	AF093464.1 GI:44571	534	Actinobacteria	Renibacterium	salmoninarum	AcF6-1	h	n
AJ299217	AJ299217.1 GI:12666	243	Euryarchaeota	Ferroglobus	placidus	AED II 12 DO	h	u
AJ390585	AJ390585.1 GI:98446	505	Proteobacteria	Pseudomonas	stutzeri	AER2.5	h	u
AJ390586	AJ390586.1 GI:98446	477	Proteobacteria	Pseudomonas	stutzeri	AER2.7	h	u
AJ390587	AJ390587.1 GI:98447	529	Proteobacteria	Pseudomonas	stutzeri	AER5.1	h	u
AJ005552	g3063902	684	Proteobacteria	Nitrosospira	sp	AF	h	u
AF390136	AF390136.1 GI:19071	182	Firmicutes	Phytoplasma	broom	AlmWB1	h	p
AF390137	AF390137.1 GI:19071	182	Firmicutes	Phytoplasma	broom	AlmWB2	h	p
AF455038	AF455038.1 GI:19387	182	Firmicutes	Phytoplasma	broom	AlmWB3	h	p
AF455039	AF455039.1 GI:19387	182	Firmicutes	Phytoplasma	broom	AlmWB4	h	p
AF455041	AF455041.1 GI:19387	182	Firmicutes	Phytoplasma	broom	AlmWB-N1	h	p
AF455040	AF455040.1 GI:19387	182	Firmicutes	Phytoplasma	broom	AlmWB-P1	h	p
AF073240	g4587930	509	Proteobacteria	Xylella	fastidiosa	ALS1	h	p
AF073243	g4587933	510	Proteobacteria	Xylella	fastidiosa	ALS2	h	p
AF073244	g4587934	510	Proteobacteria	Xylella	fastidiosa	ALS3	h	p
AF073245	g4587935	510	Proteobacteria	Xylella	fastidiosa	ALS4	h	p
AF073246	g4587936	510	Proteobacteria	Xylella	fastidiosa	ALS5	h	p
AF073247	g4587937	510	Proteobacteria	Xylella	fastidiosa	ALS6	h	p
AF073248	g4587938	510	Proteobacteria	Xylella	fastidiosa	ALS7	h	p
AF073249	g4587939	510	Proteobacteria	Xylella	fastidiosa	ALS9	h	p
AJ274640	AJ274640.1 GI:64536	231	Firmicutes	Phytoplasma	bud	Alu2	h	p
AJ274635	AJ274635.1 GI:64536	230	Firmicutes	Phytoplasma	bud	Alu3	h	p
AJ274634	AJ274634.1 GI:64536	230	Firmicutes	Phytoplasma	bud	Alu7	h	p
D84402	g1304026	248	Spirochaetes	Borrelia	sp	Am501	h	u
L37574	g845217	144	Firmicutes	Bacillus	anthracis	Ames	h	p
AJ251904	AJ251904.1 GI:98445	529	Proteobacteria	Pseudomonas	stutzeri	AN10	h	u
AJ251905	AJ251905.1 GI:98445	528	Proteobacteria	Pseudomonas	stutzeri	AN11	h	u
AF073215	g4587905	509	Proteobacteria	Xylella	fastidiosa	Ann1	h	p
CHLPNE001	CHLPNE001	306	Chlamydiae	Chlamydia	pneumoniae	AR39	h	p
AJ420068	AJ420068.1 GI:18496	366	Firmicutes	Bacillus	pseudomycoides	ARS BD10	h	p
AF397677	AF397677.1 GI:18462	539	Cyanobacteria	Prochlorococcus	marinus	AS9601	a	n
L42536	g840631	158	Firmicutes	Bacillus	anthracis	ASC 1	h	p
D84403	g1304027	253	Spirochaetes	Borrelia	garinii	ASF	h	u
AF105315	g4008075	226	Firmicutes	Phytoplasma	yellows	AshY3	h	p
AF105316	g4008076	226	Firmicutes	Phytoplasma	yellows	AshY5	h	p
AJ390590	AJ390590.1 GI:98447	529	Proteobacteria	Pseudomonas	stutzeri	ATC 14405	h	u
L28156	g453546	579	Proteobacteria	Pseudomonas	gladioli	ATCC10248	h	u
L28157	g453547	546	Proteobacteria	Pseudomonas	gladioli	ATCC10248	h	u
AF342832	AF342832.1 GI:13447	138	Fusobacteria	Fusobacterium	nucleatum	ATCC10953	h	u
AF329200	AF329200.1 GI:13272	231	Proteobacteria	Zymomonas	mobilis	ATCC10988	h	u
U09511	g799151	274	Actinobacteria	Bifidobacterium	adolescentis	ATCC11146	h	u
U09526	g799166	275	Firmicutes	Lactobacillus	sp	ATCC11147	h	n
D87086	g1622718	497	Proteobacteria	Burkholderia	solanacearum	ATCC11696	h	u
AJ314879	AJ314879.1 GI:14456	362	Actinobacteria	Mycobacterium	phlei	ATCC11758	h	p
AB026218	AB026218.1 GI:66836	300	Actinobacteria	Streptomyces	scabies	ATCC12309	h	u
AF489602	AF489602.1 GI:19550	565	Firmicutes	Streptococcus	porcinus	ATCC12390	h	p
AF489605	AF489605.1 GI:19550	563	Firmicutes	Streptococcus	porcinus	ATCC12391	h	p
L42262	g1477396	274	Actinobacteria	Mycobacterium	kansasii	ATCC12478	h	p
AB026217	AB026217.1 GI:66836	306	Actinobacteria	Streptomyces	scabies	ATCC125435	h	u
L36472	g567883	298	Firmicutes	Staphylococcus	aureus	ATCC12600	h	p
S51964	g262625	187	Firmicutes	Clostridium	perfringens	ATCC13124	h	p
L28166	g453566	536	Proteobacteria	Xanthomonas	maltophilia	ATCC13637	h	u
AF342860	AF342860.1 GI:13447	112	Fusobacteria	Leptotrichia	buccalis	ATCC14201	h	u
AF127590	AF127590.1 GI:13270	517	Proteobacteria	Pseudomonas	reactans	ATCC14340	h	u
AJ314880	AJ314880.1 GI:14456	365	Actinobacteria	Mycobacterium	smegmatis	ATCC14468	h	p
L42258	g1477392	272	Actinobacteria	Mycobacterium	gordonae	ATCC14470	h	p
L37576	g845219	143	Firmicutes	Bacillus	cereus	ATCC14579	h	n
AF413016	AF413016.1 GI:16152	730	Proteobacteria	Vibrio	proteolyticus	ATCC15338	h	p
AF413017	AF413017.1 GI:16152	658	Proteobacteria	Vibrio	proteolyticus	ATCC15338	h	p
AF413018	AF413018.1 GI:16152	563	Proteobacteria	Vibrio	proteolyticus	ATCC15338	h	p
AJ314882	AJ314882.1 GI:14456	410	Actinobacteria	Mycobacterium	vaccae	ATCC15483	h	p
AF132740	g6066195	253	Firmicutes	Mycoplasma	pneumoniae	ATCC15531	h	p
U09792	g1302621	477	Actinobacteria	Bifidobacterium	infantis	ATCC15697	h	u
U09518	g799158	488	Actinobacteria	Bifidobacterium	breve	ATCC15698	h	u
U09832	g799170	476	Actinobacteria	Bifidobacterium	longum	ATCC15708	h	u
AF017499	g2738846	386	Actinobacteria	Nocardioides	simplex	ATCC15799	h	u
AJ279245	AJ279245.1 GI:98446	587	Proteobacteria	Pseudomonas	pseudoalcaligenes	ATCC17440	h	u
AJ251902	AJ251902.1 GI:98445	529	Proteobacteria	Pseudomonas	stutzeri	ATCC17587	h	u
AJ251901	AJ251901.1 GI:98445	529	Proteobacteria	Pseudomonas	stutzeri	ATCC17591	h	u
AJ251900	AJ251900.1 GI:98445	505	Proteobacteria	Pseudomonas	stutzeri	ATCC17594	h	u
AF429304	AF429304.1 GI:16923	283	Proteobacteria	Vibrio	parahaemolyticus	ATCC17802	h	p
U60281	g1755057	608	Proteobacteria	Acinetobacter	sp	ATCC17903	h	n
U60280	g1755056	622	Proteobacteria	Acinetobacter	sp	ATCC19004	h	n
AJ314884	AJ314884.1 GI:14456	281	Actinobacteria	Mycobacterium	scrofulaceum	ATCC19073	h	p
AF413025	AF413025.1 GI:16152	708	Proteobacteria	Vibrio	tubiashii	ATCC19105	h	p
AF413026	AF413026.1 GI:16152	707	Proteobacteria	Vibrio	tubiashii	ATCC19105	h	p
L05172	g149681	243	Firmicutes	Listeria	monocytogenes	ATCC1918	h	p
L26327	g496111	275	Actinobacteria	Mycobacterium	bovis	ATCC19210	h	p
AJ314873	AJ314873.1 GI:14456	296	Actinobacteria	Mycobacterium	chelonae	ATCC19235	h	p
AJ314877	AJ314877.1 GI:14456	397	Actinobacteria	Mycobacterium	diernhoferi	ATCC19340	h	p
AB019247	g3821802	361	Firmicutes	Erysipelothrix	rhusiopathiae	ATCC19414	h	u
L26329	g496113	275	Actinobacteria	Mycobacterium	microti	ATCC19422	h	p
X87180	g1848167	344	Firmicutes	Enterococcus	faecium	ATCC19434	h	p
L28148	g453538	468	Proteobacteria	Pseudomonas	aeruginosa	ATCC19660	h	p
L28149	g453539	468	Proteobacteria	Pseudomonas	aeruginosa	ATCC19660	h	p
L28150	g453540	469	Proteobacteria	Pseudomonas	aeruginosa	ATCC19660	h	p
AF362022	AF362022.1 GI:14149	443	Proteobacteria	Acidithiobacillus	ferrooxidans	ATCC19859	h	n
AJ314870	AJ314870.1 GI:14456	299	Actinobacteria	Mycobacterium	abscessus	ATCC19977	h	p
AJ314881	AJ314881.1 GI:14456	365	Actinobacteria	Mycobacterium	smegmatis	ATCC19980	h	p
AJ314869	AJ314869.1 GI:14456	299	Actinobacteria	Mycobacterium	abscessus	ATCC23003	h	p
AJ314878	AJ314878.1 GI:14456	363	Actinobacteria	Mycobacterium	phlei	ATCC23042	h	p
D87085	g1622717	624	Proteobacteria	Burkholderia	andropogonis	ATCC23061	h	n
AJ315574	AJ315574.1 GI:14422	272	Actinobacteria	Mycobacterium	gordonae	ATCC23283	h	p
L28164	g453554	603	Proteobacteria	Pseudomonas	pseudomallei	ATCC23343	h	u
L28165	g453555	641	Proteobacteria	Pseudomonas	pseudomallei	ATCC23343	h	u
L28158	g453548	603	Proteobacteria	Pseudomonas	mallei	ATCC23344	h	u
AJ278725	AJ278725.1 GI:12044	440	Proteobacteria	Acidithiobacillus	ferrooxidans	ATCC2370T	h	n
AF342830	AF342830.1 GI:13447	126	Fusobacteria	Fusobacterium	nucleatum	ATCC23726	h	u
AY027681	AY027681.1 GI:14276	306	Actinobacteria	Streptomyces	ambofaciens	ATCC23877	h	u
AY027682	AY027682.1 GI:14276	303	Actinobacteria	Streptomyces	ambofaciens	ATCC23877	h	u
AY027683	AY027683.1 GI:14276	299	Actinobacteria	Streptomyces	ambofaciens	ATCC23877	h	u
AY027684	AY027684.1 GI:14276	303	Actinobacteria	Streptomyces	ambofaciens	ATCC23877	h	u
AY027685	AY027685.1 GI:14276	301	Actinobacteria	Streptomyces	ambofaciens	ATCC23877	h	u
AY027686	AY027686.1 GI:14276	300	Actinobacteria	Streptomyces	ambofaciens	ATCC23877	h	u
M27245	g341664	303	Actinobacteria	Streptomyces	ambofaciens	ATCC23877	h	u
AB026703	AB026703.1 GI:67293	279	Actinobacteria	Mycobacterium	asiaticum	ATCC25274	h	p
AF342842	AF342842.1 GI:13447	141	Fusobacteria	Fusobacterium	necrophorum	ATCC25286	h	u
L28159	g453549	511	Proteobacteria	Pseudomonas	mendocina	ATCC25411	h	u
L28160	g453550	514	Proteobacteria	Pseudomonas	mendocina	ATCC25411	h	u
L28161	g453551	514	Proteobacteria	Pseudomonas	mendocina	ATCC25411	h	u
L28162	g453552	516	Proteobacteria	Pseudomonas	mendocina	ATCC25411	h	u
L26330	g496114	275	Actinobacteria	Mycobacterium	africanum	ATCC25420	h	p
U09528	g799168	478	Actinobacteria	Bifidobacterium	thermophilum	ATCC25525	h	u
U09879	g799172	541	Actinobacteria	Bifidobacterium	pseudolongum	ATCC25526	h	u
U09858	g497262	509	Actinobacteria	Bifidobacterium	animalis	ATCC25527	h	u
AF342841	AF342841.1 GI:13447	117	Fusobacteria	Fusobacterium	russii	ATCC25533	h	u
AF342856	AF342856.1 GI:13447	210	Fusobacteria	Fusobacterium	necrogenes	ATCC25556	h	u
AF342849	AF342849.1 GI:13447	170	Fusobacteria	Fusobacterium	mortiferum	ATCC25557	h	u
AF342846	AF342846.1 GI:13447	135	Fusobacteria	Fusobacterium	gonidiaformans	ATCC25563	h	u
AF342829	AF342829.1 GI:13447	137	Fusobacteria	Fusobacterium	nucleatum	ATCC25586	h	u
L28151	g453541	587	Proteobacteria	Pseudomonas	cepacia	ATCC25609	h	p
L28152	g453542	529	Proteobacteria	Pseudomonas	cepacia	ATCC25609	h	p
L28153	g453543	529	Proteobacteria	Pseudomonas	cepacia	ATCC25609	h	p
L28154	g453544	530	Proteobacteria	Pseudomonas	cepacia	ATCC25609	h	p
L28155	g453545	393	Proteobacteria	Pseudomonas	cepacia	ATCC25609	h	p
AF342840	AF342840.1 GI:13447	125	Fusobacteria	Fusobacterium	naviforme	ATCC25832	h	u
U09524	g799164	548	Actinobacteria	Bifidobacterium	pseudolongum	ATCC25865	h	u
U09516	g799156	452	Actinobacteria	Bifidobacterium	asteroides	ATCC25910	h	u
U09523	g799163	459	Actinobacteria	Bifidobacterium	coryneforme	ATCC25911	h	u
U09791	g1302620	471	Actinobacteria	Bifidobacterium	indicum	ATCC25912	h	u
AF412990	Vibrio campbellii	279	Proteobacteria	Vibrio	campbellii	ATCC25920	h	p
AF412996	AF412996.1 GI:16152	542	Proteobacteria	Vibrio	campbellii	ATCC25920	h	p
AF412997	AF412997.1 GI:16152	278	Proteobacteria	Vibrio	campbellii	ATCC25920	h	p
D14527	g286118	295	Firmicutes	Mycoplasma	pirum	ATCC25960	h	p
U09525	g799165	263	Actinobacteria	Bifidobacterium	infantis	ATCC25962	h	u
AF413009	AF413009.1 GI:16152	492	Proteobacteria	Vibrio	nigripulchritudo	ATCC27043	h	n
AF413010	AF413010.1 GI:16152	729	Proteobacteria	Vibrio	nigripulchritudo	ATCC27043	h	n
AF413011	AF413011.1 GI:16152	766	Proteobacteria	Vibrio	nigripulchritudo	ATCC27043	h	n
AF413012	AF413012.1 GI:16152	800	Proteobacteria	Vibrio	nigripulchritudo	ATCC27043	h	n
AF413014	AF413014.1 GI:16152	474	Proteobacteria	Vibrio	nigripulchritudo	ATCC27043	h	n
AF413015	AF413015.1 GI:16152	570	Proteobacteria	Vibrio	nigripulchritudo	ATCC27043	h	n
AF413013	AF413013.1 GI:16152	472	Proteobacteria	Vibrio	nigripulchritudo	ATCC27043	h	n
AF033075	AF033075.1 GI:26890	423	Proteobacteria	Actinobacillus	pleuropneumoniae	ATCC27088T	h	p
AF033061	AF033061.1 GI:26889	531	Proteobacteria	Actinobacillus	pleuropneumoniae	ATCC27088T	h	p
AF033076	AF033076.1 GI:26890	407	Proteobacteria	Actinobacillus	pleuropneumoniae	ATCC27089	h	p
AF033062	AF033062.1 GI:26889	513	Proteobacteria	Actinobacillus	pleuropneumoniae	ATCC27089	h	p
AF033063	AF033063.1 GI:26889	551	Proteobacteria	Actinobacillus	pleuropneumoniae	ATCC27090	h	p
AF033078	g2689010	445	Proteobacteria	Actinobacillus	pleuropneumoniae	ATCC27090	h	p
AB026219	AB026219.1 GI:66836	308	Actinobacteria	Streptomyces	scabies	ATCC27449	h	u
L28163	g453553	513	Proteobacteria	Pseudomonas	pickettii	ATCC27511	h	u
U10434	g799173	494	Actinobacteria	Bifidobacterium	dentium	ATCC27534	h	u
U09515	g799155	472	Actinobacteria	Bifidobacterium	angulatum	ATCC27535	h	u
L36967	g558496	506	Actinobacteria	Bifidobacterium	animalis	ATCC27536	h	u
U09522	g799162	492	Actinobacteria	Bifidobacterium	catenulatum	ATCC27539	h	u
U09878	g799171	391	Actinobacteria	Bifidobacterium	magnum	ATCC27540	h	u
AF059330	g4106119	302	Firmicutes	Ureaplasma	urealyticum	ATCC27618	h	p
AF342855	AF342855.1 GI:13447	170	Fusobacteria	Fusobacterium	varium	ATCC27725	h	u
AF342859	AF342859.1 GI:13447	213	Fusobacteria	Fusobacterium	prausnitzii	ATCC27766	h	u
